frame_index,timestamp_sec,track_id,x,y,z,u,v,age
130,13.696266113,6737,3.465234485,-0.219451004,1.596096787,335.363,151.294,6
130,13.696266113,6741,3.466600647,-0.218201956,1.596384860,335.437,151.885,6
137,14.596518066,6995,3.787576726,-0.263524217,1.480049370,473.880,128.480,10
154,16.063624024,8826,3.892093903,-0.171085965,1.540896355,484.977,152.130,6
155,16.263684570,8891,3.718903388,-0.261048302,1.664495828,385.991,72.475,6
155,16.263684570,8893,3.715130579,-0.257674846,1.670841975,381.139,74.497,6
155,16.263684570,8898,3.717525804,-0.257576727,1.670451793,381.993,75.099,6
155,16.263684570,8899,3.716862226,-0.257997663,1.669798776,382.225,74.589,6
155,16.263684570,8903,3.724000999,-0.255047691,1.663451168,388.046,77.650,6
155,16.263684570,8904,3.724646356,-0.255464940,1.662189456,388.981,77.396,6
155,16.263684570,8975,3.724778287,-0.186764935,1.697684730,368.926,126.320,6
155,16.263684570,8976,3.730130988,-0.078570525,1.725651234,356.514,198.983,6
155,16.263684570,8977,3.724387473,-0.186705178,1.697965256,368.654,126.319,6
155,16.263684570,8978,3.728637713,-0.162672467,1.705884255,365.640,143.278,6
155,16.263684570,8980,3.733939387,-0.134357517,1.714372855,362.745,162.791,6
155,16.263684570,8981,3.729794639,-0.160775222,1.706385807,365.698,144.699,6
155,16.263684570,8982,3.731107607,-0.136547050,1.714332231,361.950,161.083,6
155,16.263684570,8983,3.731997261,-0.106155370,1.719989843,359.638,181.092,6
155,16.263684570,8984,3.731313584,-0.159305194,1.705677637,366.562,145.805,6
155,16.263684570,8985,3.726317295,-0.184836890,1.697941895,369.227,127.851,6
155,16.263684570,8987,3.729880891,-0.079009333,1.725542214,356.498,198.684,6
155,16.263684570,8988,3.737161392,-0.153853226,1.703377232,369.600,149.914,6
155,16.263684570,8990,3.728469755,-0.105774385,1.720656488,358.289,181.107,6
156,16.297027344,8891,3.719214854,-0.260353040,1.664827856,385.498,71.462,7
156,16.297027344,8893,3.715827874,-0.257171231,1.671271112,380.632,73.472,7
