timestamp_sec,x,y,z
0.000000000,0.068945696,0.018731866,0.008249285
0.033396973,0.069319469,0.018947129,0.008310390
0.233789307,0.070350403,0.019145123,0.032587508
0.267189697,0.070446962,0.019110191,0.038119077
0.501006836,0.069612744,0.019136092,0.100599817
0.534411133,0.069334459,0.018998183,0.110228205
0.567816162,0.068602657,0.018296288,0.120160480
0.834735108,0.062707756,0.012535803,0.190362436
0.934857666,0.060470987,0.010293211,0.211767583
1.001606934,0.059389702,0.009417097,0.223588397
1.034981934,0.058934287,0.009107737,0.228989548
1.101731934,0.058023458,0.008489018,0.239791850
1.201858643,0.056657191,0.007560922,0.255995579
1.402115967,0.054676107,0.005418229,0.276459215
1.535483643,0.053128626,0.003171607,0.286170468
1.635580811,0.051914975,0.001314691,0.292702768
1.802410401,0.051493711,0.000549633,0.299099012
1.835776612,0.051449934,0.000455505,0.300264766
1.902509033,0.052333267,0.001249344,0.301409033
2.069341065,0.055765120,0.004471588,0.302773560
2.102707764,0.056451496,0.005116042,0.303046468
2.336226807,0.061489946,0.009727927,0.302367642
2.369586182,0.062214398,0.010388785,0.302219029
2.503024414,0.064574953,0.012708411,0.300903480
2.603102783,0.066289078,0.014414200,0.299841277
2.636450440,0.066755505,0.014937170,0.299341407
2.736530029,0.067484753,0.016215863,0.296907077
2.836609619,0.068214001,0.017494556,0.294472747
2.869969483,0.068434840,0.017900615,0.293641721
2.970049317,0.068974683,0.019007540,0.291040636
3.103488037,0.069694469,0.020483430,0.287572550
3.170206787,0.070050618,0.021273994,0.285796422
3.370363770,0.071065901,0.023830864,0.280331405
3.403723389,0.071148876,0.024265490,0.279438452
3.569993164,0.071562433,0.026431739,0.274987833
3.636858643,0.071611364,0.027411821,0.272901858
3.670292237,0.071618886,0.027917598,0.271816094
3.870903565,0.071849437,0.030899471,0.265332139
3.904340576,0.071944069,0.031380429,0.264260803
3.971216065,0.072133337,0.032342368,0.262118084
4.138413086,0.075350698,0.034258249,0.257496932
4.171854004,0.076270826,0.034592140,0.256646844
4.272179688,0.080094918,0.035376336,0.254230662
4.339065918,0.086299136,0.035151774,0.253080790
4.405853272,0.092494183,0.034927544,0.251932617
4.439293457,0.095596021,0.034815272,0.251357732
4.639944336,0.116897080,0.039009798,0.247096910
4.906981690,0.147166874,0.045199773,0.243102598
5.107177246,0.171673433,0.048075964,0.241045344
5.173908936,0.180905462,0.050264905,0.239867469
5.340738526,0.207192182,0.059689380,0.235353477
5.374104248,0.212680336,0.060903635,0.234777735
5.707349121,0.268191618,0.068772489,0.231398698
5.807443604,0.285149864,0.069801974,0.231115562
5.907538330,0.303258600,0.069029326,0.231561290
6.040998047,0.327750663,0.066978178,0.232298598
6.141092529,0.346518980,0.064265146,0.233016113
6.274552246,0.373808944,0.062980406,0.233501219
6.408011719,0.403456956,0.064123699,0.233495460
6.608260254,0.450876708,0.065901930,0.232814843
6.641613281,0.458829283,0.066199273,0.232689017
6.741672363,0.487148222,0.067000795,0.233209900
6.941789063,0.542336244,0.069507617,0.234996107
7.175255615,0.600768574,0.074540592,0.238316676
7.208607666,0.609162083,0.075364329,0.238944404
7.241959717,0.617555591,0.076188067,0.239572131
7.442070801,0.674231012,0.080773685,0.243539563
7.508774170,0.694241622,0.082239000,0.244897664
7.641802246,0.730135413,0.083157365,0.246608954
7.675139404,0.739108137,0.083376352,0.247032255
7.741858643,0.754137530,0.081413638,0.247815152
7.841947510,0.771062527,0.073859951,0.248866221
7.942036377,0.787987525,0.066306264,0.249917289
7.975399170,0.797103991,0.067038434,0.250200452
8.008762207,0.806403094,0.067941370,0.250480086
8.075488037,0.825001232,0.069747236,0.251039352
8.108851074,0.834300335,0.070650172,0.251318986
8.175576904,0.852160448,0.072819253,0.251934729
8.208939942,0.860660534,0.074115420,0.252275508
8.242302735,0.869160556,0.075411578,0.252616285
8.375754639,0.903052660,0.080644585,0.253944784
8.442480469,0.919372832,0.083540788,0.254408773
8.642284668,0.969471753,0.092293765,0.255832467
8.709138672,0.988103347,0.095344920,0.256360987
8.775994141,1.006735350,0.098396142,0.256889519
8.842851563,1.024881390,0.100858884,0.257169197
8.943140625,1.051106508,0.103349684,0.257079878
8.976571289,1.059848469,0.104179975,0.257050104
9.043433838,1.077450125,0.106095069,0.256996888
9.143730713,1.104271396,0.109873725,0.256939610
9.210597412,1.122152810,0.112392908,0.256901423
9.277466065,1.140404596,0.115254565,0.256594502
9.479093994,1.196162688,0.124537143,0.254828504
9.545785401,1.212561620,0.125660329,0.254661014
9.712511475,1.254413086,0.128519530,0.254082777
9.745856201,1.263687924,0.129145636,0.253798294
9.912578369,1.310117593,0.131838522,0.252191590
9.945922363,1.319525121,0.131424000,0.251468863
10.045953613,1.347747501,0.130180442,0.249300698
10.145983643,1.375932426,0.129129532,0.247155718
10.212669678,1.394648375,0.128812107,0.245771812
10.412724365,1.450545907,0.128287914,0.241532494
10.446066406,1.459790133,0.128324006,0.240800666
10.479373291,1.469024612,0.128360060,0.240069609
10.679447022,1.525090239,0.129100685,0.236521792
10.712791992,1.534508707,0.129289705,0.236036081
10.946204590,1.601104903,0.131437344,0.232637820
11.012892578,1.620060812,0.132191606,0.231651613
11.112923828,1.646897052,0.133726958,0.230011127
11.179610596,1.664787683,0.134750515,0.228917482
11.212953613,1.673098767,0.135334184,0.228503181
11.413010010,1.721137063,0.139043406,0.226399352
11.445453369,1.728927484,0.139644934,0.226058172
11.645633789,1.781955526,0.141745282,0.223859180
11.678997071,1.791120331,0.141989172,0.223486498
11.745723877,1.809684950,0.142387248,0.222863170
11.912540772,1.857715941,0.142764075,0.222146075
12.112721192,1.906330179,0.139393288,0.220806888
12.146084473,1.914193134,0.138730065,0.220570992
12.179447998,1.922086579,0.137992803,0.220337360
12.212811279,1.930081086,0.137009547,0.220111263
12.346264893,1.962059235,0.133076510,0.219206870
12.379628174,1.970053742,0.132093254,0.218980773
12.413237549,1.978802367,0.130779037,0.218751976
12.880069336,2.110529165,0.104681304,0.215617441
13.113475342,2.173607912,0.091734307,0.215196734
13.346874756,2.240698678,0.078028448,0.215371885
13.446901123,2.270058749,0.071659405,0.215765076
13.580267578,2.305684340,0.062183975,0.216049797
13.613574707,2.314444196,0.059779204,0.216111560
13.646920410,2.323214197,0.057371647,0.216173395
13.846991944,2.377755059,0.044093305,0.217222360
14.013714600,2.428415796,0.030940677,0.218748502
14.313807617,2.511843906,0.009489300,0.220927382
14.347150635,2.520960046,0.007238138,0.221082647
14.480521485,2.563712043,-0.002845615,0.221124663
14.513864014,2.574399984,-0.005366539,0.221135167
14.547172363,2.585051829,-0.007857057,0.221151435
14.680554444,2.626107212,-0.016059977,0.221584034
14.780589844,2.656925337,-0.022135919,0.221817146
14.813934571,2.667260705,-0.023983714,0.221682040
15.014000733,2.729863341,-0.035021513,0.220897031
15.047344727,2.741002654,-0.036802808,0.220796776
15.114032227,2.763281115,-0.040365371,0.220596268
15.247405274,2.807919357,-0.048091896,0.219860937
15.280748291,2.819123774,-0.050353273,0.219493823
15.314091309,2.830328191,-0.052614650,0.219126709
15.480803467,2.885677703,-0.061364618,0.217425572
15.514105957,2.896546771,-0.062398431,0.217123290
15.580797363,2.918313116,-0.064468740,0.216517940
15.714178467,2.962497597,-0.068735304,0.215794102
15.814213135,2.995939886,-0.071993966,0.215478336
15.914246338,3.031786708,-0.075385940,0.215076811
15.980934326,3.057098672,-0.077725657,0.214758694
16.014278321,3.069754655,-0.078895515,0.214599635
16.214338867,3.140321486,-0.080872473,0.214569455
16.247681641,3.151780078,-0.080917986,0.214616474
16.347709717,3.184608392,-0.081366086,0.213749744
16.447519043,3.216392824,-0.082008935,0.212251799
16.480848389,3.227006605,-0.082223602,0.211751589
16.614163574,3.276269799,-0.084620617,0.211681937
16.680819336,3.301953449,-0.086056944,0.211945694
16.914205078,3.388634028,-0.088607276,0.212334067
16.947558350,3.400909734,-0.088886355,0.212371135
17.147679199,3.471721831,-0.090851888,0.210960810
17.181032715,3.483384018,-0.091193796,0.210645432
17.314446533,3.531011842,-0.092678187,0.209506292
17.381153565,3.554999255,-0.093441068,0.208958399
17.414507080,3.566992961,-0.093822508,0.208684452
17.614479492,3.642461062,-0.096367832,0.206992705
17.847883301,3.728346962,-0.098972039,0.205283765
17.881226319,3.740382761,-0.099312947,0.205058964
18.081296387,3.811051646,-0.100841699,0.202730689
18.114647949,3.822738791,-0.101065431,0.202283613
18.147999512,3.834425938,-0.101289164,0.201836537
18.214702393,3.858075043,-0.102093893,0.200951281
18.314756836,3.893957520,-0.103832246,0.199636617
18.348108399,3.905918375,-0.104411698,0.199198395
18.414811279,3.929839997,-0.105570599,0.198321954
18.548217285,3.977757253,-0.108060992,0.196657562
18.581609863,3.989752820,-0.108687854,0.196242745
18.614955078,4.001731372,-0.109313827,0.195828516
18.781679932,4.061108095,-0.110135856,0.193768747
18.948401123,4.121404905,-0.109143675,0.191670788
19.015088867,4.146739421,-0.107732881,0.190785320
19.048432373,4.159406540,-0.107027492,0.190342591
19.081775879,4.172073659,-0.106322103,0.189899862
19.115119141,4.184740686,-0.105616720,0.189457136
19.148462403,4.197196957,-0.104602049,0.189090676
19.248491211,4.233770013,-0.100390814,0.188279138
19.515228760,4.324589599,-0.089604097,0.186790270
19.547768067,4.335017186,-0.088331260,0.186674234
19.748521485,4.401278122,-0.068294005,0.186643020
19.815446778,4.423755152,-0.059163809,0.186770308
19.949308350,4.461340523,-0.038303296,0.186951829
19.982776123,4.470045082,-0.032843722,0.186990348
20.083184815,4.496160158,-0.016464121,0.187105913
20.183601807,4.516885210,0.007736713,0.186408566
20.284027100,4.537269077,0.032436828,0.185659466
20.384460694,4.556361660,0.059928981,0.184856272
20.417940430,4.562228817,0.070166830,0.184567739
20.551868408,4.585699028,0.111120987,0.183413532
20.652324219,4.600339860,0.141680841,0.182035341
20.685193848,4.604901179,0.151667892,0.181544752
20.718570801,4.609532900,0.161809088,0.181046591
20.751947754,4.614164620,0.171950284,0.180548429
20.885456787,4.627149919,0.213326810,0.178491347
21.052346192,4.635353272,0.266223900,0.175826619
21.119102783,4.636659200,0.286084020,0.173987704
21.152481201,4.637269473,0.295986042,0.173051536
21.185859863,4.637879750,0.305888137,0.172115361
21.285996582,4.639710595,0.335594639,0.169306817
21.319375488,4.639674618,0.344348859,0.168130578
21.352754883,4.639612654,0.353057047,0.166944669
21.586362549,4.638789526,0.417113603,0.159441267
21.619831299,4.638436979,0.428165494,0.158845931
21.753211914,4.637031999,0.472209804,0.156473384
21.819901612,4.635961844,0.493929310,0.155818353
21.853246094,4.635348140,0.504724261,0.155604453
21.986623047,4.632893340,0.547903746,0.154748862
22.053310791,4.631425497,0.569805643,0.154597842
22.086654541,4.630607659,0.580865574,0.154618922
22.286713623,4.625424221,0.647155143,0.154685145
22.320056397,4.624320899,0.658143622,0.154644002
22.420083740,4.621010965,0.691108736,0.154520575
22.520109863,4.617907481,0.723857211,0.154255317
22.553422119,4.617081011,0.734546657,0.154024672
22.753439942,4.612200949,0.798656574,0.152605072
22.786775635,4.611518432,0.809225296,0.152313303
22.986785645,4.607385669,0.872778273,0.150528591
23.020119873,4.606228702,0.885130932,0.149807796
23.053453858,4.605071743,0.897483500,0.149087006
23.120121582,4.602757833,0.922188547,0.147645432
23.186788574,4.600443949,0.946893321,0.146203874
23.220121582,4.599305719,0.958293864,0.145519599
23.253454590,4.598187126,0.968694795,0.144873656
23.486893067,4.590314290,1.042549966,0.140137923
23.686870606,4.583174343,1.116095458,0.133934323
23.720206055,4.582289039,1.127179824,0.132772316
23.753541260,4.581409731,1.138241017,0.131607804
23.786876465,4.580530424,1.149302210,0.130443292
23.920215088,4.577013253,1.193546255,0.125785322
23.986883057,4.572877708,1.215479102,0.123593760
24.186994141,4.559759956,1.281270172,0.117051588
24.220349854,4.556692719,1.293006927,0.115714432
24.253705322,4.553625505,1.304743596,0.114377285
24.287060791,4.550558290,1.316480266,0.113040139
24.353771729,4.544423862,1.339953605,0.110365846
24.620615723,4.512343886,1.428139400,0.101757645
24.653242920,4.508154675,1.438720057,0.100779002
24.686702637,4.502849507,1.449357178,0.099639147
24.887480469,4.468925542,1.512743913,0.092517186
24.920946778,4.463070296,1.522339862,0.091586505
25.121764160,4.427602405,1.578409639,0.086396602
25.155237061,4.419939835,1.585731890,0.085733162
25.188710938,4.412277041,1.593054355,0.085069704
25.222185547,4.404614079,1.600376980,0.084406230
25.356093994,4.373959941,1.629669671,0.081752138
25.389573242,4.366049348,1.636103421,0.081018512
25.423053711,4.357787632,1.641271219,0.080185173
25.456534912,4.349525736,1.646439131,0.079351816
25.490017334,4.341263539,1.651607231,0.078518428
25.590469727,4.316475682,1.667112322,0.076018137
